Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepdale Community Centre,"Deepdale Lane, Boston Spa",LS23 6EH,Childrens Centre,Wetherby,Y,LS23,21981,72651236,53.907551,-1.356826,445902,442351,Y,,,,,Glass,1,,1,"2,830","5,659","4,287","4,537","6,598","4,291","4,452",6321,5761,6889,4634.58,2517.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Hotel,Kingswear Crescent,LS15 8LR,Pub,Cross Gates and Whinmoor,Y,LS15,21982,72111147,53.80243,-1.444119,434158,436708,Y,,,,,Glass,1,,3,381,"4,229",804,"4,298","4,827","1,761","2,297",2390,3302,1449,,2085.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonshire Hall,Cumberland Rd,LS6 2EQ,Business,Headingley,,LS6,23142,72055042,53.818326,-1.565614,435871,428696,Y,,,,,Glass,1,,,,,,0,,,,,,530,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewsbury Rd Social Club,Dewsbury Road,LS11 5LR,Social Club,Beeston and Holbeck,,LS11,21983,72532349,53.770104,-1.550312,430512,429737,Y,,,,,Glass,1,,1,410,,368,,524,,,510,,795,76.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drighlington Cricket Club,Station Road,BD11 1JU,Sports Club,Morley North,Y,BD11,21985,72547352,53.755411,-1.663447,428836,422288,Y,Y,,,,"Glass, Paper",1,,3,"5,161","4,795","3,837","5,621","4,630","3,413","3,875",4803,5512,3413,3615.81,5970.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Driglington Tempest Club,Bradford Road,BD11 1AB,Social Club,Morley North,,BD11,22332,72352819,53.75745,-1.663112,429063,422309,Y,Y,,,,"Glass, Paper",,,,,665,,629,,,680,0,545,0,541,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Of Wellington,"Main Street, East Keswick",LS17 9DB,Pub,Harewood,Y,LS17,21987,72389346,53.892047,-1.451072,444125,436173,Y,,,,,Glass,1,,1,"1,007","2,082","1,270","1,331","1,611","1,363",974,1129,1574,1424,1378.79,1147.28,,,,,,,,,,,,,,,,,,,,,,,,,,
East & West Ardsley WMC (closed),"Bradford Road, East Ardsley",WF3 2EP,Social Club,Ardsley and Robin Hood,Y ,WF3,21988,72546324,53.727642,-1.552296,425787,429636,Y,,,,,Glass,1,,3,"3,742","3,433","1,559","1,620","2,979","2,007","3,042",2172,2891,2913,2480.94,2253.88,,,,,,,,,,,,,,,,,,,,,,,,,,
East End Park WMC (closed),15 Vinery Avenue ,LS9 9LX,Social Club,Burmantofts and Richmond Hill,Y,LS9,21990,72561691,53.796132,-1.510744,433425,432325,Y,,,,,Glass,1,,2,892,"1,310","1,016","1,055","1,440",368,"1,645",874,526,2089,,1046.94,,,,,,,,,,,,,,,,,,,,,,,,,,
East Keswick Village Hall,"School Lane, East Keswick",LS17 9DA,Business,Harewood,Y,LS17,,72389414,53.893829,-1.449648,444324,436265,,Y,,,,Paper,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Leeds Community Sports Club,Easy Road,LS9 8QS,Sports Club,Burmantofts and Richmond Hill,Y,LS9,21993,72062721,53.791381,-1.518374,432893,431826,Y,,,,,Glass,1,,1,710,,0,550,,167,,335,,356,87.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Leeds Cricket Club,Pontefract Lane,LS9 0PT,Sports Club,Burmantofts and Richmond Hill,,LS9,21991,72565932,53.790231,-1.511753,432768,432263,Y,,,,,Glass,1,,1,2,,,,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Leeds Snooker C,Sandleas Way,LS15 7AF,Sports Club,Cross Gates and Whinmoor,Y,LS15,21992,72178034,53.808708,-1.429792,434864,437646,Y,,,,,Glass,1,,1,202,488,,,,651,,0,561,,,625.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Easterley Cross,Off St Wilfreds Ave,LS8 3PB,Road Side,Gipton and Harehills,,LS8,22959,72061576,53.816255,-1.507337,435665,432534,Y,,,,,Glass,,,,,,670,344,,293,173,329,293,,366.41,193.84,,,,,,,,,,,,,,,,,,,,,,,,,,
Easterly Mount,Gipton,LS8 3PH,Road Side,Gipton and Harehills,,LS8,21994,72195894,53.817053,-1.505698,435755,432641,Y,,,,,Glass,1,,1,695,,760,688,,586,196,659,,,732.82,387.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Echem,147 Kirkstall Road,LS3 1JN,Business,Armley,Y,LS3,22331,72112771,53.802497,-1.572149,434107,428276,Y,,,,,Glass,1,,1,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmund House Club,Pontefract Lane,LS9 8QJ,Social Club,Burmantofts and Richmond Hill,Y,LS9,21995,72538936,53.792032,-1.514814,432967,432060,Y,,,,,Glass,1,,1,0,722,424,,,560,890,,526,667,,337.69,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward 7th WMC,"65 Leeds Road, Allerton Bywater",WF10 2HE,Social Club,Kippax and Methley,Y,WF10,21996,72322947,53.752401,-1.383449,428625,440752,Y,,,,,Glass,1,,1,0,,"1,722",376,795,"1,083",913,1656,1027,1775,1279.35,714.94,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldon Court,St Marks Road,LS2 9EG,Road Side,Hyde Park and Woodhouse,,LS2,22200,72725497,53.812286,-1.555302,435203,429379,Y,,,,,Glass,1,,1,,555,613,405,171,285,,545,456,492,248.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Falconers Rest Public House,"Thorpe Lane, Middleton.",LS10 4EP,Pub,Ardsley and Robin Hood,Y,LS10,22002,72566749,53.738591,-1.543144,427009,430232,Y,,,,,Glass,1,,1,783,380,254,550,,936,333,668,146,1333,847.41,782.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Farsley Celtic AFC,Throstle Nest,LS28 5AY,Sports Club,Calverley and Farsley,Y,LS28,22005,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,592,0,634,375,792,289,999,1424,642,4088,1119.06,592,,,,,,,,,,,,,,,,,,,,,,,,,,
Farsley Celtic AFC Car Park,"Newlands, Farsley, Pudsey",LS28 5BE,Sports Club,Calverley and Farsley,Y,LS28,22006,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,"1,558","1,500","1,193","1,269",969,579,268,,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,
Farsley Cricket Club,"The Pavillion, Red Lane, Farlsey ",LS28 5JE,Sports Club,Calverley and Farsley,,LS28,22970,72275499,53.813997,-1.677057,435350,421361,Y,,,,,Glass,1,,1,,,716,,,,869,,,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farsley WMC,"School Sreet off Wesley Street, Farsley",LS28 5EU,Social Club,Calverley and Farsley,Y,LS28,22007,72273773,53.812369,-1.670022,435171,421825,Y,,,,,Glass,1,,1,846,"1,064",861,"1,071",763,792,838,486,1001,1124,2027.37,846,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearnville Leisure Centre,"Oakwood Lane, Fearnville",LS8 3LF,Leisure Centre,Gipton and Harehills,Y,LS8,22008,72148595,53.815112,-1.488575,435547,433770,Y,,,,,Glass,1,,3,"4,017","1,365","1,601","1,897","1,230","1,464","2,157",1726,1459,2442,1375.54,892.18,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisherman's Car Park,Weetwood Lane ,LS16 5LT,Restaurant,Weetwood,Y,LS16,21938,72224560,53.828198,-1.582437,436962,427582,Y,Y,,,,"Glass, Paper",1,,1,"2,101","1,381","1,324","3,222","2,050","1,633","1,416",1568,1451,,1794.04,2101,,,,,,,,,,,,,,,,,,,,,,,,,,
Football World Leeds,Pontefract Lane,LS9 0RA,Business,Burmantofts and Richmond Hill,,LS9,22011,72672526,53.785803,-1.505977,432278,432647,Y,,,,,Glass,1,,1,8,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox & Hound,"Hall Park Road, Walton, Wetherby",LS23 7DQ,Pub,Wetherby,Y,LS23,22012,72393838,53.924192,-1.326404,447772,444332,Y,Y,,,,"Glass, Paper",1,,1,0,0,480,0,308,,,304,,0,,5524,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fox & Hounds, Bramhope, Public car park","Old Lane, Bramhope",LS16 9AX,,Adel and Wharfedale,Y,LS16,22013,72346130,53.885381,-1.624689,443309,424767,Y,,,,,Glass,1,,5,"5,524","6,872","7,979","6,579","7,515","7,330","4,954",7800,10805,10272,5896.58,5685.83,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox and Grapes,"124 Smalewell Road, Pudsey",LS28 8HU,Pub,Pudsey,Y,LS28,22014,72391238,53.851198,-1.391727,439612,440112,Y,,,,,Glass,1,,1,308,,380,,418,253,160,,452,339,145.44,214.58,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Inn,"Main Street, Thorner",LS14 3DX,Pub,Harewood,Y,LS14,22015,72385674,53.8573,-1.428067,440271,437716,Y,,,,,Glass,1,,1,190,939,480,321,454,,683,476,318,411,536.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaping Goose Public House,"41 Selby Road, Garforth",LS25 1LR,Hotel,Garforth and Swillington,Y,LS25,22018,72314899,53.787068,-1.399182,432473,439682,Y,,,,,Glass,1,,1,343,353,,657,697,,304,264,431,358,185.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardeners Arms,"Wide Lane, Morley",LS27 8SU,Pub,Morley South,,LS27,22019,72366983,53.746755,-1.580707,427902,427749,Y,,,,,Glass,1,,1,"1,881",819,934,"1,456","1,155","1,425","1,056",929,1873,1398,883.29,1619.87,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardeners Arms Public House,"383 Leeds Road, Lofthouse",WF3 3QE,Pub,Ardsley and Robin Hood,Y ,WF3,22020,72700363,53.7355,-1.504869,426682,432759,Y,,,,,Glass,1,,2,0,405,,355,,,85,,526,0,252.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garforth Country Club,"19 Aberford Road, Garforth",LS25 1PZ,Social Club,Garforth and Swillington,Y,LS25,22021,72527225,53.796956,-1.385164,433581,440596,Y,,,,,Glass,1,,1,822,355,,766,512,523,431,786,0,0,556.27,387.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Garforth Cricket Club,"Church Lane, Garforth",LS25 1PE,Sports Club,Garforth and Swillington,Y,LS25,22022,72314295,53.792869,-1.385649,433126,440568,Y,,,,,Glass,1,,1,171,,677,,426,,,,533,0,,488.83,,,,,,,,,,,,,,,,,,,,,,,,,,
Garforth Golf Club ,"Long Lane, Garforth",LS25 2DS,Sports Club,Harewood,Y,LS25,22023,72536177,53.812756,-1.388441,435337,440365,Y,,,,,Glass,1,,1,0,,0,,707,,381,,355,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garforth Leisure Centre,"Ninelands Lane, Garforth",LS25 1NX,Leisure Centre,Garforth and Swillington,Y,LS25,22024,72555715,53.791432,-1.37553,432972,441236,Y,,,,,Glass,1,,3,"2,214","2,509","1,972","2,391","2,103","1,282","1,471",871,797,3442,2191.63,2027.83,,,,,,,,,,,,,,,,,,,,,,,,,,
Garforth WMC,"Barley Hill Road, Garforth ",LS25 1AU,Social Club,Garforth and Swillington,Y,LS25,22025,72528293,53.792131,-1.394358,433039,439995,Y,,,,,Glass,1,,1,491,504,356,319,550,633,710,486,518,834,1046.54,325.89,,,,,,,,,,,,,,,,,,,,,,,,,,
Gathorne Terrace,Roundhay Road,LS8 5EZ,Road Side,Chapel Allerton,Y,LS8,22026,72635865,53.811484,-1.523817,435127,431452,Y,,,,,Glass,1,,1,0,390,600,345,615,292,362,,209,310,237.85,197.88,,,,,,,,,,,,,,,,,,,,,,,,,,
Gildersome Cricket Club,"Street Lane, Gildersome",LS27 7HX,Sports Club,Morley North,,LS27,22030,72356000,53.75258,-1.635105,428530,424158,Y,,,,,Glass,1,,1,,,,,319,,,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gildersome Meeting Hall (next to library),Town Street,LS27 7AB,Business,Morley North,,LS27,,72356280,53.757995,-1.628677,429135,424579,,Y,,,,Paper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipton WMC,Coldcotes Circus,LS9 6QE,Social Club,Gipton and Harehills,,LS9,22031,72541103,53.808259,-1.493989,434782,433419,Y,,,,,Glass,1,,3,,,424,,562,,589,373,338,356,,566.94,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossop View,Glossop View,LS6 2LL,Road Side,Headingley,,LS6,,72092425,53.816636,-1.553000,435688,429527,,,Y,,,Textile,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gledhow Bus Terminus (ex gledhow towers),Lincombe Drive,LS8 1RG,Road Side,Roundhay,Y,LS8,22032,72636036,53.832056,-1.52593,437415,431298,Y,,,,,Glass,1,,1,896,493,"1,335",517,678,888,"1,981",628,2164,1360,1225.6,1287.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Acre Car Park 1,"Arthington Road, Bramhope",LS16 8BQ,Car Park,Adel and Wharfedale,Y,LS16,22034,72152281,53.871478,-1.592083,441774,426919,Y,,,,,Glass,1,,3,,"1,864","1,722","1,302","1,198","1,170","2,932",1361,2255,2186,1225.6,1982.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Acre Car Park 2,Otley Road,LS16 9JX,Car Park,Adel and Wharfedale,Y,LS16,22035,72152281,53.871478,-1.592083,441774,426919,Y,,,,,Glass,1,,3,"1,449","1,451","1,683","1,563","1,451",819,"1,432",658,1298,,1021.26,755,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Lion,Beeston Road,LS11 8RP,Pub,Beeston and Holbeck,Y,LS11,22037,72018326,53.783744,-1.551699,432029,429636,Y,,,,,Glass,1,,1,321,,423,,412,,164,,,570,,252.59,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Indian Lounge,"40 Wakefield Road, Swillington",LS26 8DJ,Restaurant,Garforth and Swillington,Y,LS26,22254,72330038,53.767576,-1.419957,430293,438331,Y,,,,,Glass,1,,1,573,"1,307","1,045",639,"1,230",345,803,954,1525,513,604.5,625.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Grange Park Sports Club,"Grange Park, Old Boston Road",LS22 5DY,Sports Club,Wetherby,Y,LS22,22356,72685905,53.916968,-1.371633,446941,441369,Y,,,,,Glass,1,,1,,,0,,,,,,318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Preston Snooker Club (former Miners Welfair Club),"Berry Lane, Great Preston",LS26 8AX,Social Club,Garforth and Swillington,Y,LS26,22040,72328130,53.760999,-1.3898,429578,440325,Y,,,,,Glass,1,,3,"1,973",913,"1,775",150,"1,876",913,"1,748",261,1053,1540,1424.02,536.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Gusto's Restaurant,151 Otley Old Road,LS16 6HN,Restaurant,Weetwood,Y,LS16,21999,72151145,53.845417,-1.601274,438871,426331,Y,,,,,Glass,1,,2,"5,627","4,985","5,033","4,423","7,004","5,488","4,467",4930,6761,7365,5538.26,5627,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfway House Public House,"452 Leeds Road, Robin Hood",WF3 3AB,Pub,Ardsley and Robin Hood,Y ,WF3,22041,72372009,53.741077,-1.508063,427301,432544,Y,,,,,Glass,1,,1,"1,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harehills Labour Club,Florence Street,LS9 7BX,Social Club,Gipton and Harehills,Y,LS9,22043,72071449,53.808361,-1.511938,434785,432237,Y,,,,,Glass,1,,1,695,655,,,562,373,510,165,508,394,168.66,497,,,,,,,,,,,,,,,,,,,,,,,,,,
Harewood Village Hall,Church Lane,LS17 9LJ,Business,Harewood,Y,LS17,22278,72387617,53.902591,-1.513808,445268,432042,Y,,,,,Glass,1,,3,"1,008",,,"1,207","1,779",508,,632,1872,2642,1521.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawksworth Wood Conservative Club,Cragside Walk,LS5 3LX,Social Club,Kirkstall,Y,LS5,22047,72051298,53.829731,-1.620339,437119,425086,Y,,,,,Glass,1,,3,920,"1,529","1,010","1,925","1,388",877,460,510,491,1843,912.68,1518.62,,,,,,,,,,,,,,,,,,,,,,,,,,
Headingley Taps Public House,"North Lane, Headingley",LS6 3HN,Pub,Headingley,,LS6,22049,72565717,53.820562,-1.579651,436114,427770,Y,Y,Y,Y,,"Glass, Paper, Textile, Small Electrical Appliances",1,,3,"2,780","3,465","3,759","3,406","2,852","2,665",,3186,4346,3082,3479.93,2780,,,,,,,,,,,,,,,,,,,,,,,,,,
Highways Office,Middleton Ringroad,LS10 4AX,Council Office,Middleton Park,,LS10,22050,72674864,53.746467,-1.536856,427888,430641,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinsley Hall,62 Headingley Lane,LS6 2BX,Hotel,Headingley,,LS6,22052,72662567,53.819674,-1.570045,436019,428403,Y,,,,,Glass,1,,1,,,567,,,458,,593,,518,,267.77,,,,,,,,,,,,,,,,,,,,,,,,,,
HMYOI Wetherby,"(nr prison maingate) York Road, Wetherby",LS22 5ED,Prison,Wetherby,,LS22,22993,72555064,53.935248,-1.367809,448977,441602,Y,,,,,Glass,1,,1,,,,"1,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holbeck Community Centre,"90A Elland Road, Holbeck", LS11 0AB,Community Centre,Beeston and Holbeck,,LS11,23141,72548760,53.781479,-1.561716,431773,428978,Y,,,,,Glass,1,,1,,,656,,159,,292,,,,171.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Holbeck WMC,"3 Jenkinson Lawn, Holbeck",LS11 9QX,Pub,Beeston & Holbeck,,LS11,23159,72740058,53.785324,-1.555106,432203,429440,Y,,,,,Glass,1,,,615,,721,,547,707,321,,660,398,152.11,827,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Inn,"Wakefield Road, Garforth",LS25 1LH,Hotel,Garforth and Swillington,Y,LS25,22053,72329956,53.785244,-1.404626,432267,439325,Y,,,,,Glass,1,,2,663,,"1,140",0,0,"1,395",913,352,1036,537,185.42,387.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsforth Cricket Club,"King Georges Playing Field, Brownberrie Lane, Horseforth",LS18 5SB,Sports Club,Horsforth,Y,LS18,22057,72553164,53.846754,-1.637406,439007,423953,Y,,,,,Glass,1,,1,,673,906,690,579,233,924,314,472,888,274.78,695.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunslet Carr Sports & Social,Moor Road,LS10 2JJ,Social Club,City and Hunslet,Y,LS10,22059,72548455,53.772012,-1.532266,430732,430925,Y,,,,,Glass,1,,3,,"1,103",,,340,,694,,677,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunslet Green Community Sports Club,"The Oval, Hunslet",LS10 2AT,Sports Club,City and Hunslet,Y,LS10,22058,72548513,53.779373,-1.532093,431551,430931,Y,,,,,Glass,1,,3,605,0,,,0,,,373,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Ellar Ghyll,"Bradford Road, Otley",LS21 3DN,HWSS,Otley and Yeadon,Y,LS21,22064 / 66,72554769,53.896333,-1.730111,444496,417833,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,6,"16,491","12,992","12,418","19,932","14,410","13,512","13,908",10662,22786,19188,11070.91,17204.71,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Kirkstall,Kirkstall Road,LS4 2HR,HWSS,Kirkstall,Y,LS4,22062,72168115,53.806303,-1.584799,434526,427440,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Meanwood,Meanwood Road,LS7 2LP,HWSS,Chapel Allerton,Y,LS7,22985,72130391,53.819615,-1.55364,436019,429483,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,10,"26,269","24,783","22,271","23,371","23,071","16,370","18,696",17023,21095,29159,17142.76,26069,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Middleton,"Holmewell Road, Middleton",LS10 4TQ,HWSS,Middleton Park,Y,LS10,22063,72568081,53.748932,-1.528682,428166,431178,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,7,"18,911","14,705","11,810","17,169","15,038","13,319","11,191",15016,18263,17650,12913.49,13726.53,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Pudsey Grangefield,Richardshaw Road,LS28 6LG,HWSS,Calverley and Farsley,Y,LS28,22060,72394172,53.804812,-1.654745,434335,422835,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,3,"13,906","9,587","10,602",,"13,684","12,056","5,516",12098,10191,16568,9111.41,13906.48,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Seacroft,Limewood Approach,LS14 1LU,HWSS,Killingbeck and Seacroft,Y,LS14,22228,72119915,53.827845,-1.465084,436975,435306,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,6,"22,894","15,059","17,090","24,165","21,053","18,946","17,449",17152,27174,28026,18743.41,22894.17,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Thorp Arch,Thorp Arch Trading Estate,LS23 7BJ,HWSS,Wetherby,Y,LS23,22065,72651978,53.905913,-1.318889,445743,444845,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,5,,"14,658","9,315","12,680","13,382","10,609","9,027",10423,14012,16609,420.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWSS Yeadon,Milner Road,LS19 7JE,HWSS,Guiseley and Rawdon,Y,LS19,22066,72524755,53.865496,-1.703174,441072,419617,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,4,"25,463","20,418","21,250","27,689","24,982","20,938","25,483",15950,32958,29572,19537.73,25463.14,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyde Park Car Park, Site 2",Woodhouse Lane,LS6 1AQ,Car Park,Hyde Park and Woodhouse,Y,LS6,22354,72136753,53.814328,-1.561478,435428,428971,Y,Y,,,,"Glass, Paper",1,,2,524,,"1,617",0,171,923,604,,1398,662,662.25,1232.51,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyde Park Centre,Hyde Park,,Road Side,Hyde Park and Woodhouse,,LS6,23106,,53.811696,-1.560086,435135,429064,Y,,,,,Glass,1,,2,299,"1,298",,,,,,,,,,485.85,,,,,,,,,,,,,,,,,,,,,,,,,,
