Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 20 Glass Tonnage Kg,May 20 Glass Tonnage Kg,Jun 20 Glass Tonnage Kg,Jul 20 Glass Tonnage Kg,Aug 20 Glass Tonnage Kg,Sep 20 Glass Tonnage Kg,Oct 20 Glass Tonnage Kg,Nov 20 Glass Tonnage Kg,Dec 20 Glass Tonnage Kg,Jan 21 Glass Tonnage Kg,Feb 21 Glass Tonnage Kg,Mar 21 Glass Tonnage Kg
Edmund House Club,Pontefract Lane,LS9 8QJ,Social Club,Burmantofts and Richmond Hill,Y,LS9,21995,72538936,53.792032,-1.514814,432967,432060,Y,,,,,Glass,1,,1,,,675.29,344.79,,,,,,,,
Edward 7th WMC,"65 Leeds Road, Allerton Bywater",WF10 2HE,Social Club,Kippax and Methley,Y,WF10,21996,72322947,53.752401,-1.383449,428625,440752,Y,,,,,Glass,1,,1,2117.54,2747.53,2794.3,1462.22,2807.3,,,,,,,
Falconers Rest Public House,"Thorpe Lane, Middleton.",LS10 4EP,Pub,Ardsley and Robin Hood,Y,LS10,22002,72566749,53.738591,-1.543144,427009,430232,Y,,,,,Glass,1,,1,2386.88,2855.24,3370.54,2040.54,1429.5,,,,,,,
Farsley Celtic AFC,Throstle Nest,LS28 5AY,Sports Club,Calverley and Farsley,Y,LS28,22005,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,,,3671.69,2731.98,2140.24,,,,,,,
Farsley Celtic AFC Car Park,"Newlands, Farsley, Pudsey",LS28 5BE,Sports Club,Calverley and Farsley,Y,LS28,22006,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,3423.01,2478.81,,,,,,,,,,
Farsley Cricket Club,"The Pavillion, Red Lane, Farlsey ",LS28 5JE,Sports Club,Calverley and Farsley,,LS28,22970,72275499,53.813997,-1.677057,435350,421361,Y,,,,,Glass,1,,1,,,,406.62,,,,,,,,
Farsley WMC,"School Sreet off Wesley Street, Farsley",LS28 5EU,Social Club,Calverley and Farsley,Y,LS28,22007,72273773,53.812369,-1.670022,435171,421825,Y,,,,,Glass,1,,1,1110.94,1154.87,1895.86,1400,888.28,,,,,,,
Fearnville Leisure Centre,"Oakwood Lane, Fearnville",LS8 3LF,Leisure Centre,Gipton and Harehills,Y,LS8,22008,72148595,53.815112,-1.488575,435547,433770,Y,,,,,Glass,1,,3,2926.65,2133.13,2618.18,2747.11,2512.11,,,,,,,
Fisherman's Car Park,Weetwood Lane ,LS16 5LT,Restaurant,Weetwood,Y,LS16,21938,72224560,53.828198,-1.582437,436962,427582,Y,Y,,,,"Glass, Paper",1,,1,3851.65,4078.17,4458.85,1476.95,,,,,,,,
Football World Leeds,Pontefract Lane,LS9 0RA,Business,Burmantofts and Richmond Hill,,LS9,22011,72672526,53.785803,-1.505977,432278,432647,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Fox & Hound,"Hall Park Road, Walton, Wetherby",LS23 7DQ,Pub,Wetherby,Y,LS23,22013,72393838,53.924192,-1.326404,447772,444332,Y,Y,,,,"Glass, Paper",1,,1,,,,488.51,,,,,,,,
"Fox & Hounds, Bramhope, Public car park","Old Lane, Bramhope",LS16 9AX,Pub,Adel and Wharfedale,Y,LS16,22013,72346130,53.885381,-1.624689,443309,424767,Y,,,,,Glass,1,,5,8844.64,15218.01,17744.98,13076.59,10577.21,,,,,,,
Fox and Grapes,"124 Smalewell Road, Pudsey",LS28 8HU,Pub,Pudsey,Y,LS28,22014,72391238,53.851198,-1.391727,439612,440112,Y,,,,,Glass,1,,1,0,738.58,402.34,406.62,326.04,,,,,,,
Fox Inn,"Main Street, Thorner",LS14 3DX,Pub,Harewood,Y,LS14,22015,72385674,53.8573,-1.428067,440271,437716,Y,,,,,Glass,1,,1,698.07,,0,,,,,,,,,
Gaping Goose Public House,"41 Selby Road, Garforth",LS25 1LR,Hotel,Garforth and Swillington,Y,LS25,22018,72314899,53.787068,-1.399182,432473,439682,Y,,,,,Glass,1,,1,601.86,,499.01,316.58,,,,,,,,
Gardeners Arms,"Wide Lane, Morley",LS27 8SU,Pub,Morley South,,LS27,22019,72366983,53.746755,-1.580707,427902,427749,Y,,,,,Glass,1,,1,2148.55,2596.63,3528.27,2724.27,2575.12,,,,,,,
Gardeners Arms Public House,"383 Leeds Road, Lofthouse",WF3 3QE,Pub,Ardsley and Robin Hood,Y ,WF3,22020,72700363,53.7355,-1.504869,426682,432759,Y,,,,,Glass,1,,2,359.35,0,983.21,755.91,580.38,,,,,,,
Garforth Country Club,"19 Aberford Road, Garforth",LS25 1PZ,Social Club,Garforth and Swillington,Y,LS25,22021,72527225,53.796956,-1.385164,433581,440596,Y,,,,,Glass,1,,1,336.1,,623.76,,615.95,,,,,,,
Garforth Cricket Club,"Church Lane, Garforth",LS25 1PE,Sports Club,Garforth and Swillington,Y,LS25,22022,72314295,53.792869,-1.385649,433126,440568,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Gildersome Meeting Hall (next to library),Town Street,LS27 7AB,Business,Morley North,,LS27,,72356280,53.757995,-1.628677,429135,424579,,Y,,,,Paper,,,0,,,,,,,,,,,,
Garforth Golf Club ,"Long Lane, Garforth",LS25 2DS,Sports Club,Harewood,Y,LS25,22023,72536177,53.812756,-1.388441,435337,440365,Y,,,,,Glass,1,,1,628.09,,645.19,563.02,690.61,,,,,,,
Glossop View,Glossop View,LS6 2LL,Road Side,Headingley,,LS6,,72092425,53.816636,-1.553,435688,429527,,,Y,,,Textile,,,0,,,,,,,,,,,,
Garforth Leisure Centre,"Ninelands Lane, Garforth",LS25 1NX,Leisure Centre,Garforth and Swillington,Y,LS25,22024,72555715,53.791432,-1.37553,432972,441236,Y,,,,,Glass,1,,3,2592.19,4837.91,4384.78,3717.95,3001.97,,,,,,,
Garforth WMC,"Barley Hill Road, Garforth ",LS25 1AU,Social Club,Garforth and Swillington,Y,LS25,22025,72528293,53.792131,-1.394358,433039,439995,Y,,,,,Glass,1,,1,348.55,341.88,499.01,520,615.95,,,,,,,
Gathorne Terrace,Roundhay Road,LS8 5EZ,Road Side,Chapel Allerton,Y,LS8,22026,72635865,53.811484,-1.523817,435127,431452,Y,,,,,Glass,1,,1,1332.81,313,83.19,1261.23,208.85,,,,,,,
Gildersome Cricket Club,"Street Lane, Gildersome",LS27 7HX,Sports Club,Morley North,,LS27,22030,72356000,53.75258,-1.635105,428530,424158,Y,,,,,Glass,1,,1,,,,,757.45,,,,,,,
Gipton WMC,Coldcotes Circus,LS9 6QE,Social Club,Gipton and Harehills,,LS9,22031,72541103,53.808259,-1.493989,434782,433419,Y,,,,,Glass,1,,3,0,189.58,,658.12,,,,,,,,
Golden Acre Car Park 1,"Arthington Road, Bramhope",LS16 8BQ,Car Park,Adel and Wharfedale,Y,LS16,22034,72152281,53.871478,-1.592083,441774,426919,Y,,,,,Glass,1,,3,,658.92,3415.62,1521.18,1176.98,,,,,,,
Guiseley School,Fieldhead Road,LS20 8DT,Educational Facility,Guiseley and Rawdon,,,,72299572,53.871175,-1.717938,441700,418644,,Y,,,,Paper,,,0,,,,,,,,,,,,
Golden Acre Car Park 2,Otley Road,LS16 9JX,Car Park,Adel and Wharfedale,Y,LS16,22035,72152281,53.871478,-1.592083,441774,426919,Y,,,,,Glass,1,,3,,585.34,1289.13,1939.53,3085.27,,,,,,,
Golden Lion,Beeston Road,LS11 8RP,Pub,Beeston and Holbeck,Y,LS11,22037,72018326,53.783744,-1.551699,432029,429636,Y,,,,,Glass,1,,1,256.87,433.08,798.62,516.83,,,,,,,,
Grand Indian Lounge,"40 Wakefield Road, Swillington",LS26 8DJ,Restaurant,Garforth and Swillington,Y,LS26,22254,72330038,53.767576,-1.419957,430293,438331,Y,,,,,Glass,1,,1,1456.32,1172.55,1504.28,1801.09,1356.83,,,,,,,
Grange Park Sports Club,"Grange Park, Old Boston Road",LS22 5DY,Sports Club,Wetherby,Y,LS22,22356,72685905,53.916968,-1.371633,446941,441369,Y,,,,,Glass,1,,1,,3181.9,321.74,,62.64,,,,,,,
Great Preston Snooker Club (former Miners Welfair Club),"Berry Lane, Great Preston",LS26 8AX,Social Club,Garforth and Swillington,Y,LS26,22040,72328130,53.760999,-1.3898,429578,440325,Y,,,,,Glass,1,,3,2065.49,,1578.54,1596.22,1300.48,,,,,,,
Gusto's Restaurant,151 Otley Old Road,LS16 6HN,Restaurant,Weetwood,Y,LS16,21999,72151145,53.845417,-1.601274,438871,426331,Y,,,,,Glass,1,,2,10653.07,14377.43,16925.36,13732.59,11091.08,,,,,,,
Harehills Labour Club,Florence Street,LS9 7BX,Social Club,Gipton and Harehills,Y,LS9,22043,72071449,53.808361,-1.511938,434785,432237,Y,,,,,Glass,1,,1,163.6,183.44,367.07,,690.32,,,,,,,
Harewood Village Hall,Church Lane,LS17 9LJ,Business,Harewood,Y,LS17,22278,72387617,53.902591,-1.513808,445268,432042,Y,,,,,Glass,1,,3,603.38,1684.36,1164.67,1632.45,1511.56,,,,,,,
Hawksworth Wood Conservative Club,Cragside Walk,LS5 3LX,Social Club,Kirkstall,Y,LS5,22047,72051298,53.829731,-1.620339,437119,425086,Y,,,,,Glass,1,,3,2354.1,2580.53,2903.91,1847.85,1727.04,,,,,,,
Headingley Taps Public House,"North Lane, Headingley",LS6 3HN,Pub,Headingley,,LS6,22049,72565717,53.820562,-1.579651,436114,427770,Y,Y,Y,Y,,"Glass, Paper, Textile, Small Electrical Appliances",1,,3,7094.09,5488.99,7959.98,4136.95,5388,,,,,,,
Highways Office,Middleton Ringroad,LS10 4AX,Council Office,Middleton Park,,LS10,22050,72674864,53.746467,-1.536856,427888,430641,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Hinsley Hall,62 Headingley Lane,LS6 2BX,Hotel,Headingley,,LS6,22052,72662567,53.819674,-1.570045,436019,428403,Y,,,,,Glass,1,,1,,,,513.31,,,,,,,,
HMYOI Wetherby,"(nr prison maingate) York Road, Wetherby",LS22 5ED,Prison,Wetherby,,LS22,22993,72555064,53.935248,-1.367809,448977,441602,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Holbeck Community Centre,"90A Elland Road, Holbeck", LS11 0AB,Community Centre,Beeston and Holbeck,,LS11,23141,72548760,53.781479,-1.561716,431773,428978,Y,,,,,Glass,1,,1,432.17,0,464.31,,479.16,,,,,,,
Holbeck WMC,"3 Jenkinson Lawn, Holbeck",LS11 9QX,Pub,Beeston & Holbeck,,LS11,23159,72740058,53.785324,-1.555106,432203,429440,Y,,,,,Glass,1,,,355.24,184.64,1172.12,440.71,,,,,,,,
Holiday Inn,"Wakefield Road, Garforth",LS25 1LH,Hotel,Garforth and Swillington,Y,LS25,22053,72329956,53.785244,-1.404626,432267,439325,Y,,,,,Glass,1,,2,,,,,,,,,,,,
Horsforth Cricket Club,"King Georges Playing Field, Brownberrie Lane, Horseforth",LS18 5SB,Sports Club,Horsforth,Y,LS18,22057,72553164,53.846754,-1.637406,439007,423953,Y,,,,,Glass,1,,1,1665.35,2273.51,2892.75,890.66,1260.02,,,,,,,
Hunslet Carr Sports & Social,Moor Road,LS10 2JJ,Social Club,City and Hunslet,Y,LS10,22059,72548455,53.772012,-1.532266,430732,430925,Y,,,,,Glass,1,,3,,,,1723.93,,,,,,,,
Hunslet Green Community Sports Club,"The Oval, Hunslet",LS10 2AT,Sports Club,City and Hunslet,Y,LS10,22058,72548513,53.779373,-1.532093,431551,430931,Y,,,,,Glass,1,,3,,,,691.15,,,,,,,,
HWSS Ellar Ghyll,"Bradford Road, Otley",LS21 3DN,HWSS,Otley and Yeadon,Y,LS21,22066,72554769,53.896333,-1.730111,444496,417833,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,6,12653.35,,3300,,,,,,,,,
HWSS Kirkstall,Kirkstall Road,LS4 2HR,HWSS,Kirkstall,Y,LS4,22062,72168115,53.806303,-1.584799,434526,427440,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,4,,,,,,,,,,,,
HWSS Meanwood,Meanwood Road,LS7 2LP,HWSS,Chapel Allerton,Y,LS7,22985,72130391,53.819615,-1.55364,436019,429483,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,10,3914.97,9192.42,13257.27,9496.87,9655.65,,,,,,,
HWSS Middleton,"Holmewell Road, Middleton",LS10 4TQ,HWSS,Middleton Park,Y,LS10,22063,72568081,53.748932,-1.528682,428166,431178,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,7,220,4158.85,8385.62,5798.01,3769.83,,,,,,,
HWSS Pudsey Grangefield,Richardshaw Road,LS28 6LG,HWSS,Calverley and Farsley,Y,LS28,22060,72394172,53.804812,-1.654745,434335,422835,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,3,1100,4183.46,6717.18,5784.13,4076.13,,,,,,,
HWSS Seacroft,Limewood Approach,LS14 1LU,HWSS,Killingbeck and Seacroft,Y,LS14,22228,72119915,53.827845,-1.465084,436975,435306,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,6,,6533.57,13493.62,9302.21,11002.8,,,,,,,
HWSS Thorp Arch,Thorp Arch Trading Estate,LS23 7BJ,HWSS,Wetherby,Y,LS23,22065,72651978,53.905913,-1.318889,445743,444845,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,5,715.36,24609.73,12203.67,5957.66,,,,,,,,
HWSS Yeadon,Milner Road,LS19 7JE,HWSS,Guiseley and Rawdon,Y,LS19,22066,72524755,53.865496,-1.703174,441072,419617,Y,Y,Y,Y,,"Glass, Paper, Textile, Shoes, Books, Small Electrical Appliances",1,,4,9299.67,4043.08,21806.38,12577.37,13645.26,,,,,,,
"Hyde Park Car Park, Site 2",Woodhouse Lane,LS6 1AQ,Car Park,Hyde Park and Woodhouse,Y,LS6,22354,72136753,53.814328,-1.561478,435428,428971,Y,Y,,,,"Glass, Paper",1,,2,1047.81,575.64,929.64,1193.75,411.53,,,,,,,
Hyde Park Centre,Hyde Park,,Road Side,Hyde Park and Woodhouse,,,23106,,53.811696,-1.560086,435135,429064,Y,,,,,Glass,1,,2,,,,,,,,,,,,
"Hyde Park Centre, Site 5","Hyde Park, Band Stand",LS6 1PY,Park,Hyde Park and Woodhouse,,LS6,22574,,53.810885,-1.560983,435045,429006,Y,,,,,Glass,1,,2,1656.89,948.96,340.87,328.28,545.47,,,,,,,
"Hyde Park Pathway, Site 4","Hyde Park, Hyde Park Rd",LS6 1SJ,Road Side,Hyde Park and Woodhouse,Y,LS6,22305,72175654,53.812404,-1.563674,435213,428827,Y,Y,,,,Glass,1,,3,1966.94,1850.36,3523.26,1548.75,1595.92,,,,,,,
"Hyde Park Roadside, Site 3",Hyde Park Road Side,LS6 1AG,Road Side,Hyde Park and Woodhouse,Y,LS6,22187,72136753,53.814317,-1.561899,435426,428943,Y,,Y,,,"Glass, Textile",1,,1,1314.76,1466.14,2425.35,930.96,573.43,,,,,,,
Ings Hotel,Ings Lane,LS20 9HR,Pub,Guiseley and Rawdon,,LS20,22068,72293019,53.881733,-1.720514,442874,418470,Y,,,,,Glass,1,,1,0,,,495.85,702.76,,,,,,,
ITV Yorkshire,"Television House, 106 Kirkstall Road",LS3 1JS,Business,Armley,Y,LS3,22311,72112762,53.803145,-1.569971,434180,428419,Y,,,,,Glass,1,,3,,,,755.91,,,,,,,,
John Smeaton Sports,Smeaton Approach,LS15 8TA,Leisure Centre,Cross Gates and Whinmoor,Y,LS15,22070,72187384,53.81337,-1.432994,435381,437431,Y,,,,,Glass,1,,1,,,,,1272.2,,,,,,,
Kings Arms Public House,"Greenside, Pudsey",LS28 8PU,Pub,Pudsey,Y,LS28,22071,72283239,53.79163,-1.672128,432863,421697,Y,,,,,Glass,1,,1,3218.33,3345.53,2858.54,2811.33,2416.43,,,,,,,
Kippax Ex Service Social Club,"Church Lane, Kippax",LS25 7HF,Social Club,Kippax and Methley,Y,LS25,22072,72555962,53.767271,-1.370275,430287,441606,Y,,,,,Glass,1,,3,1227.15,1401.17,2440.09,1899.49,1787.38,,,,,,,
Kippax WMC,"Back Lane, Kippax",LS25 7QB,Social Club,Kippax and Methley,Y,LS25,22073,72324156,53.766402,-1.365752,430193,441905,Y,,,,,Glass,1,,3,979.09,657.78,2461.93,,1298.03,,,,,,,
Kirkstall Leisure,"Kirkstall Lane, Kirkstall Road",LS5 3BE,Leisure Centre,Kirkstall,Y,LS5,22074,72558232,53.816404,-1.601626,435643,426326,Y,Y,,,,"Glass, Paper",1,,1,679.52,629.17,1740.24,838.34,654.98,,,,,,,
Layby,British Library,LS23 7BQ,Road Side,Wetherby,Y,LS23,22076,72672979,53.920219,-1.32549,447331,444396,Y,Y,,,,"Glass, Paper",1,,1,2047.46,3354.48,2599.01,1672.61,2341.28,,,,,,,
Layby,Pool Road,LS21 1DY,Road Side,Adel and Wharfedale,Y,LS21,22207,72344958,53.907623,-1.658638,445772,422524,Y,,,,,Glass,1,,1,1662.97,1934.86,2488.4,,3916.17,,,,,,,
Layby,Pool Road,LS21 1DY,Road Side,Adel and Wharfedale,,,,,,,,,,,,,,Glass,1,,1,416.28,2306.8,2005.44,,,,,,,,,
Layby,"Out Gang Lane, Bramley",LS13 2QY,Road Side,Armley,,LS13,23090,,53.811048,-1.624668,435039,424812,Y,,,,,Glass,2,,2,1499.97,1119.92,1904.96,1480.98,2488.43,,,,,,,
LCC Offices,Knowsthorpe Gate,LS9 0NP,Council Office,Burmantofts and Richmond Hill,Y,LS9,21974,72696391,53.785355,-1.499804,432231,433054,Y,,Y,,,"Glass, Textile",1,,1,,241.9,,269.56,,,,,,,,
Ledston Luck Enterprise Park,Ridge Road,LS25 7BF,Road Side,Kippax and Methley,Y,LS25,,72322752,53.771037,-1.349579,430718,442966,Y,,,,,Glass,1,,1,,505,,537.86,,,,,,,,
Leeds Bradford Airport,Compound near Terminal (nr to mid-stay c/p),LS19 7TU,Transport,Otley and Yeadon,Y,LS19,22077,72685022,53.869265,-1.659439,441504,422492,Y,,,,,Glass,1,,6,,,,2661.54,,,,,,,,
Leeds City College (former Park Lane College),"Denison Road, Park Lane",LS3 1AA,Educational Facility,Armley,Y,LS3,22154,72721203,53.800445,-1.559006,433884,429143,Y,,,,,Glass,1,,1,1082.54,709.65,1344.79,878.08,717.33,,,,,,,
Leeds Golf Centre (former Wike Ridge Inn),"School Lane, Wike Ridge Lane",LS17 9JW,Leisure Centre,Harewood,Y,LS17,22306,72552817,53.873003,-1.494516,441985,433333,Y,,,,,Glass,1,,1,,567.54,665.52,,,,,,,,,
Leeds Golf Club,Elmete Lane,LS8 2LJ,Sports Club,Roundhay,Y,LS8,22078,72532671,53.836481,-1.487373,437925,433832,Y,,,,,Glass,1,,1,,,,819.58,267.13,,,,,,,
Leeds Prison,"2 Gloucester Terrace, Stanningley Road",LS12 2TJ,Prison,Armley,Y,LS12,23093,72079833,53.796477,-1.575262,433436,428075,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Leeds West Indian Centre,10 Laycock Place,LS7 3JA,Community Centre,Chapel Allerton,Y,LS7,22083,72117299,53.812196,-1.536193,435201,430637,Y,,,,,Glass,1,,1,0,,,,,,,,,,,
Leodiensian Club,"Crag Lane, Alwoodley",LS17 5PR,Social Club,Alwoodley,Y,LS17,22084,72110488,53.855699,-1.569995,440027,428382,Y,,,,,Glass,1,,1,,554.24,,,,,,,,,,
Lidl Halton,Selby Road,LS15 0DL,Supermarket,Temple Newsam,Y,LS15,23156,72661411,53.795059,-1.471573,433324,434906,Y,,,,,Glass,,,,15264.07,20016.93,18989.98,16339.45,13844.45,,,,,,,
Lidl Oulton,"60 Aberford Road, Oulton",LS26 8HP,Supermarket,Rothwell,Y,LS26,22088,72563523,53.750954,-1.448105,428429,436490,Y,,Y,,,"Glass, Textiles",1,,3,14265.62,11447.92,19649.14,14702.82,15524.84,,,,,,,
Meanwood Valley Urban Farm,Sugarwell Road,LS7 2QG,Business,Chapel Allerton,,,,72566639,53.820546,-1.552704,436123,429544,,Y,,,,Paper,,,0,,,,,,,,,,,,
Lisker Drive Otley,Road Side,LS21 1DQ,Road Side,Otley and Yeadon,Y,LS21,22089,72639489,53.902207,-1.680486,445163,421091,Y,,,,,Glass,1,,1,920.32,2907.3,2462.58,1765.33,1562.31,,,,,,,
Mainline WMC,Pudsey Road,LS13 4LS,Social Club,Farnley and Wortley,Y,LS13,22091,72162285,53.795458,-1.619966,433306,425131,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Manor Function Room,"Stoney Royd, Farsley",LS28 5JA,Business,Calverley and Farsley,,LS28,22093,72394321,53.813228,-1.678627,435264,421258,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Meanwood Cricket Club ,Parkside Road,LS6 4NE,Sports Club,Moortown,,LS6,,72139056,53.83665,-1.571558,437907,428292,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Mecure Hotel Weatherby,"Leeds Road, Wetherby ",LS22 5HE,Hotel,Wetherby,Y,LS22,22179,72555119,53.924357,-1.387283,447754,440334,Y,,,,,Glass,1,,1,778.93,69.52,,457.58,475.31,,,,,,,
Mercantile Club,"16 Commercial Street, Morley",LS27 8HN,Social Club,Morley South,Y,LS27,22099,72365814,53.746012,-1.599972,427812,426479,Y,,,,,Glass,1,,1,612.96,789.2,630.42,668.47,363.08,,,,,,,
Merlins,"Helston Road, Middleton",LS10 4PG,Pub,Middleton Park,,LS10,22100,72095841,53.75256,-1.560236,428556,429095,Y,,Y,,,"Glass, Textile",1,,1,,350.04,708.73,,345.16,,,,,,,
Methley Cricket Club,"Church Side, Methley",LS26 8EF,Sports Club,Kippax and Methley,,LS26,22101,72565255,53.735499,-1.409408,426730,439056,Y,,,,,Glass,1,,1,3790.96,3192.58,4523.62,4611.82,3534.89,,,,,,,
Methley W.M.C ,"21 Pinfold Lane, Methley",LS26 9AA,Sports Club,Kippax and Methley,,LS26,22102,72380535,53.738065,-1.393898,427024,440077,Y,,,,,Glass,1,,1,3343.12,2003.61,2835.01,3107.19,2215.26,,,,,,,
Mexborough Arms Public House,"Main Street, Thorner ",LS14 3DX,Social Club,Harewood,,LS14,22103,72385633,53.858721,-1.426497,440430,437818,Y,,Y,,,"Glass, Textile",1,,,3487.04,3526.83,3670.98,2639.39,3074.08,,,,,,,
Middleton Conservative Club,"4 Ring Road, Middleton",LS10 4AX,Social Club,Middleton Park,Y,LS10,22105,72170596,53.748282,-1.539005,428089,430498,Y,,,,,Glass,1,,3,344.52,758.31,1106.97,345.57,197.01,,,,,,,
Moor Allerton Golf Club,"Syke Lane, Scarcroft",LS17 9NH,Sports Club,Harewood,Y,LS17,22107,72388356,53.869896,-1.480379,441646,434265,Y,,,,,Glass,1,,1,,,570.7,,,,,,,,,
Moortown Rugby Union Football Club,"Moss Valley, Allwoodley",LS17 7NT,Sports Club,Alwoodley,Y,LS17,22110,72552524,53.856785,-1.554841,440154,429378,Y,,,,,Glass,1,,1,,616.76,,,693.03,,,,,,,
Moortown Social Club,Cranmer Gardens,LS17 5LA,Social Club,Alwoodley,Y,LS17,22111,72242542,53.848615,-1.554867,439245,429382,Y,,,,,Glass,1,,1,,,,361.61,,,,,,,,
Morley United Services Club,"High Street, Morley",LS27 9AL,Social Club,Morley South,Y,LS27,22112,72350683,53.741861,-1.597782,427351,426626,Y,,,,,Glass,1,,1,,,,817.98,,,,,,,,
