Ward Code 1;Ward Name 1;Total
E05011382;Adel & Wharfedale;19 408
E05011383;Alwoodley;22 737
E05011384;Ardsley & Robin Hood;22 836
E05011385;Armley;24 520
E05011386;Beeston & Holbeck;26 258
E05011387;Bramley & Stanningley;22 716
E05011388;Burmantofts & Richmond Hill;27 750
E05011389;Calverley & Farsley;23 158
E05011390;Chapel Allerton;24 125
E05011391;Cross Gates & Whinmoor;23 202
E05011392;Farnley & Wortley;24 313
E05011393;Garforth & Swillington;20 130
E05011394;Gipton & Harehills;32 394
E05011395;Guiseley & Rawdon;22 981
E05011396;Harewood;18 451
E05011397;Headingley & Hyde Park;33 238
E05011547;Horsforth;22 007
E05011399;Hunslet & Riverside;28 089
E05011400;Killingbeck & Seacroft;24 287
E05011401;Kippax & Methley;21 013
E05011402;Kirkstall;21 825
E05011403;Little London & Woodhouse;35 117
E05011404;Middleton Park;28 283
E05011405;Moortown;22 680
E05011406;Morley North;22 491
E05011407;Morley South;22 116
E05011549;Otley & Yeadon;22 177
E05011409;Pudsey;24 618
E05011410;Rothwell;20 541
E05011411;Roundhay;23 024
E05011412;Temple Newsam;21 261
E05011413;Weetwood;21 461
E05011414;Wetherby;19 987